Municipality,Province,Province ID,Municipality ID
BAGGAO,CAGAYAN,6,139
BALLESTEROS,CAGAYAN,6,140
BUGUEY,CAGAYAN,6,141
CALAYAN,CAGAYAN,6,142
CAMALANIUGAN,CAGAYAN,6,143
ENRILE,CAGAYAN,6,144
GATTARAN,CAGAYAN,6,145
GONZAGA,CAGAYAN,6,146
IGUIG,CAGAYAN,6,147
LAL-LO,CAGAYAN,6,148
LASAM,CAGAYAN,6,149
PAMPLONA,CAGAYAN,6,150
PEÑABLANCA,CAGAYAN,6,151
PIAT,CAGAYAN,6,152
RIZAL,CAGAYAN,6,153
SANCHEZ-MIRA,CAGAYAN,6,154
SOLANA,CAGAYAN,6,155
SANTA ANA,CAGAYAN,6,156
SANTA PRAXEDES,CAGAYAN,6,157
SANTA TERESITA,CAGAYAN,6,158
SANTO NIÑO (FAIRE),CAGAYAN,6,159
ALICIA,ISABELA,7,160
ANGADANAN,ISABELA,7,161
AURORA,ISABELA,7,162
BENITO SOLIVEN,ISABELA,7,163
BURGOS,ISABELA,7,164
CABANGAN,ISABELA,7,165
CORDON,ISABELA,7,166
DELFIN ALBANO (MAGSAYSAY),ISABELA,7,167
ECHAGUE,ISABELA,7,168
GAMU,ISABELA,7,169
ILAGAN CITY (CAPITAL),ISABELA,7,170
JONES,ISABELA,7,171
LUNA,ISABELA,7,172
MALLIG,ISABELA,7,173
NAGUILIAN,ISABELA,7,174
PALANAN,ISABELA,7,175
DIVILACAN,ISABELA,7,176
DINAPIGUE,ISABELA,7,177
MACONACON,ISABELA,7,178
QUEZON,ISABELA,7,179
QUIRINO,ISABELA,7,180
RAMON,ISABELA,7,181
REINA MERCEDES,ISABELA,7,182
ROXAS,ISABELA,7,183
SAN AGUSTIN,ISABELA,7,184
SAN GUILLERMO,ISABELA,7,185
SAN ISIDRO,ISABELA,7,186
SAN MANUEL,ISABELA,7,187
SAN MARIANO,ISABELA,7,188
SAN MATEO,ISABELA,7,189
SAN PABLO,ISABELA,7,190
SANTA MARIA,ISABELA,7,191
SANTO TOMAS,ISABELA,7,192
TUMAUINI,ISABELA,7,193
CABATUAN,ISABELA,7,194
ARITAO,NUEVA VIZCAYA,8,195
BAGBAG,NUEVA VIZCAYA,8,196
BAMBANG,NUEVA VIZCAYA,8,197
BAYOMBONG (Capital),NUEVA VIZCAYA,8,198
DIADI,NUEVA VIZCAYA,8,199
DUPAX DEL NORTE,NUEVA VIZCAYA,8,200
DUPAX DEL SUR,NUEVA VIZCAYA,8,201
KASIBU,NUEVA VIZCAYA,8,202
KAYAPA,NUEVA VIZCAYA,8,203
QUEZON,NUEVA VIZCAYA,8,204
SOLANO,NUEVA VIZCAYA,8,205
SANTA FE,NUEVA VIZCAYA,8,206
VILLAVERDE,NUEVA VIZCAYA,8,207
AMBAGUIO,NUEVA VIZCAYA,8,208
ALFONSO CASTAÑEDA,NUEVA VIZCAYA,8,209
AGLIPAY,QUIRINO,9,210
CABARROGUIS (Capital),QUIRINO,9,211
DIFFUN,QUIRINO,9,212
MADDELA,QUIRINO,9,213
NAGTIPUNAN,QUIRINO,9,214
SAGUDAY,QUIRINO,9,215
TUGUEGARAO CITY(Capital),CAGAYAN,6,216
CITY OF CAUAYAN,ISABELA,7,217
CITY OF SANTIAGO,ISABELA,7,218
SAN JOSE CITY,NUEVA ECIJA,10,219
BALER  (Capital),AURORA,11,220
MARIA AURORA,AURORA,11,221
CASIGURAN,AURORA,11,222
DILASAG,AURORA,11,223
DINALUNGAN,AURORA,11,224
DINGALAN,AURORA,11,225
DIPACULAO,AURORA,11,226
SAN LUIS,AURORA,11,227
ABUCAY,BATAAN,12,228
BAGAC,BATAAN,12,229
DINALUPIHAN,BATAAN,12,230
HERMOSA,BATAAN,12,231
LIMAY,BATAAN,12,232
MARIVELES,BATAAN,12,233
MORONG,BATAAN,12,234
ORANI,BATAAN,12,235
ORION,BATAAN,12,236
PILAR,BATAAN,12,237
SAMAL,BATAAN,12,238
ANGAT,BULACAN,13,239
BALIUAG,BULACAN,13,240
SANTA MARIA,BULACAN,13,241
GUIGUINTO,BULACAN,13,242
SAN ILDEFONSO,BULACAN,13,243
SAN MIGUEL,BULACAN,13,244
BALAGTAS (BIGAA),BULACAN,13,245
BOCAUE,BULACAN,13,246
BULACAN,BULACAN,13,247
BUSTOS,BULACAN,13,248
PLARIDEL,BULACAN,13,249
CALUMPIT,BULACAN,13,250
HAGONOY,BULACAN,13,251
MARILAO,BULACAN,13,252
NORZAGARAY,BULACAN,13,253
OBANDO,BULACAN,13,254
PANDI,BULACAN,13,255
PAOMBONG,BULACAN,13,256
PULILAN,BULACAN,13,257
SAN RAFAEL,BULACAN,13,258
DOÑA REMEDIOS TRINIDAD,BULACAN,13,259
ALIAGA,NUEVA ECIJA,10,260
GUIMBA,NUEVA ECIJA,10,261
SANTA ROSA,NUEVA ECIJA,10,262
CARRANGLAN,NUEVA ECIJA,10,263
RIZAL,NUEVA ECIJA,10,264
JAEN,NUEVA ECIJA,10,265
BONGABON,NUEVA ECIJA,10,266
CABIAO,NUEVA ECIJA,10,267
CUYAPO,NUEVA ECIJA,10,268
GABALDON (BITULOK & SABANI),NUEVA ECIJA,10,269
GENERAL MAMERTO NATIVIDAD,NUEVA ECIJA,10,270
GENERAL TINIO (PAPAYA),NUEVA ECIJA,10,271
LAUR,NUEVA ECIJA,10,272
LICAB,NUEVA ECIJA,10,273
LLANERA,NUEVA ECIJA,10,274
LUPAO,NUEVA ECIJA,10,275
NAMPICUAN,NUEVA ECIJA,10,276
PALAYAN CITY (Capital),NUEVA ECIJA,10,277
PANTABANGAN,NUEVA ECIJA,10,278
PEÑARANDA,NUEVA ECIJA,10,279
QUEZON,NUEVA ECIJA,10,280
SAN ANTONIO,NUEVA ECIJA,10,281
SAN ISIDRO,NUEVA ECIJA,10,282
SAN LEONARDO,NUEVA ECIJA,10,283
CABANATUAN CITY,NUEVA ECIJA,10,284
SANTO DOMINGO,NUEVA ECIJA,10,285
TALAVERA,NUEVA ECIJA,10,286
TALUGTUG,NUEVA ECIJA,10,287
ZARAGOZA,NUEVA ECIJA,10,288
APALIT,PAMPANGA,14,289
MAGALANG,PAMPANGA,14,290
ARAYAT,PAMPANGA,14,291
CANDABA,PAMPANGA,14,292
GUAGUA,PAMPANGA,14,293
MEXICO,PAMPANGA,14,294
SAN LUIS,PAMPANGA,14,295
SAN SIMON,PAMPANGA,14,296
SANTO TOMAS,PAMPANGA,14,297
SANTA RITA,PAMPANGA,14,298
LUBAO,PAMPANGA,14,299
BACOLOR,PAMPANGA,14,300
FLORIDABLANCA,PAMPANGA,14,301
MACABEBE,PAMPANGA,14,302
MASANTOL,PAMPANGA,14,303
MINALIN,PAMPANGA,14,304
PORAC,PAMPANGA,14,305
SASMUAN (SEXMOAN),PAMPANGA,14,306
SANTA ANA,PAMPANGA,14,307
CITY OF SAN FERNANDO (Capital),PAMPANGA,14,308
ANAO,TARLAC,15,309
BAMBAN,TARLAC,15,310
CAMILING,TARLAC,15,311
PANIQUI,TARLAC,15,312
CITY OF TARLAC (Capital),TARLAC,15,313
CAPAS,TARLAC,15,314
CONCEPCION,TARLAC,15,315
GERONA,TARLAC,15,316
LA PAZ,TARLAC,15,317
MAYANTOC,TARLAC,15,318
MONCADA,TARLAC,15,319
PURA,TARLAC,15,320
RAMOS,TARLAC,15,321
SAN CLEMENTE,TARLAC,15,322
SAN JOSE,TARLAC,15,323
SAN MANUEL,TARLAC,15,324
SANTA IGNACIA,TARLAC,15,325
VICTORIA,TARLAC,15,326
BOTOLAN,ZAMBALES,16,327
SANTA CRUZ,ZAMBALES,16,328
SAN FELIPE,ZAMBALES,16,329
CABANGAN,ZAMBALES,16,330
