region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region II,Santiago City,Santiago East,401784,Global Academy of Technology and Entrepreneurship,"8 Magsaysay Ave., Victory Norte, Santiago City, Isabela",ISABELA,CITY OF SANTIAGO,4th District,VICTORY NORTE,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
Region II,City of Ilagan,East,410331,Far East Computer Technology -Ilagan Inc.,Singson St,ISABELA,ILAGAN CITY (CAPITAL),1st District,CALAMAGUI 2ND,Private,Sectarian ,School with no Annexes,Purely SHS,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,6
Region III,San Jose City,San Jose City East,401965,"St. Augustine Foundation Colleges of Nueva Ecija, Inc.","Hermogenes Bldg., Bonifacio St., San Jose City, Nueva Ecija",NUEVA ECIJA,SAN JOSE CITY,2nd District,FERDINAND E. MARCOS POB. (DISTRICT II),Private,Non-Sectarian ,School with no Annexes,Purely SHS,8,14,0,0,0,0,0,0,0,0,23,29,0,0,0,0,3,4,0,0,0,0,0,0,0,0,11,21,0,0,0,0,0,45,68,113
Region III,San Jose City,San Jose City East,401967,STI COLLEGE SAN JOSE INC,"A.O. Pascual cor Rizal St., San Jose City, Nueva Ecija 3121",NUEVA ECIJA,SAN JOSE CITY,2nd District,FERDINAND E. MARCOS POB. (DISTRICT II),Private,Non-Sectarian ,School with no Annexes,Purely SHS,2,12,7,14,0,0,0,0,0,0,18,8,0,0,0,0,0,0,3,14,0,0,0,0,0,0,10,4,0,0,0,0,0,40,52,92
Region III,San Jose City,San Jose City East,410319,Araullo University San Jose,"Rizal Street, San Jose City, Nueva Ecija",NUEVA ECIJA,SAN JOSE CITY,2nd District,FERDINAND E. MARCOS POB. (DISTRICT II),Private,Non-Sectarian ,School with no Annexes,Purely SHS,23,55,82,67,72,71,23,24,0,0,0,0,0,0,0,0,21,75,73,92,76,134,46,42,0,0,0,0,0,0,0,0,0,416,560,976
Region III,Aurora,Baler,305191,Baler Stand Alone Senior High School,"Brgy. Calabuanan, Baler, Aurora",AURORA,BALER  (Capital),Lone District,CALABUANAN,Public,DepED Managed,School with no Annexes,Purely SHS,1,7,45,41,0,0,0,0,0,0,30,17,0,0,0,0,5,12,58,20,0,0,0,0,0,0,7,11,0,0,0,0,0,146,108,254
Region III,Bataan,Limay,409809,"West Philippines Institute of Tourism Science and Technology, Inc.","Townsite, Limay, Bataan",BATAAN,LIMAY,2nd District,TOWNSITE,Private,Non-Sectarian ,School with no Annexes,Purely SHS,9,35,20,32,64,80,0,0,0,0,28,30,0,0,0,0,6,19,16,18,54,56,0,0,0,0,17,13,0,0,0,0,0,214,283,497
Region III,Bataan,Mariveles,306618,Mariveles NHS - Camaya Campus,Camaya,BATAAN,MARIVELES,2nd District,CAMAYA,Public,DepED Managed,School with no Annexes,Purely SHS,28,57,151,151,61,105,0,0,0,0,169,90,0,0,0,0,45,117,137,141,58,95,11,8,0,0,176,69,0,0,0,0,0,836,833,1669
Region III,Bataan,Mariveles,361011,Mariveles SHS - Sitio Mabuhay,"SITIO MABUHAY, CABCABEN, MARIVELES, BATAAN",BATAAN,MARIVELES,2nd District,CABCABEN,Public,DepED Managed,School with no Annexes,Purely SHS,26,57,67,101,28,41,0,0,0,0,146,66,0,0,0,0,32,54,72,76,57,50,16,11,0,0,116,46,0,0,0,0,0,560,502,1062
Region III,Bataan,Mariveles,404290,SOFTNET Information Technology Center,"2nd Flr., SFB, FAB, Mariveles, Bataan",BATAAN,MARIVELES,2nd District,MALAYA,Private,Non-Sectarian ,School with no Annexes,Purely SHS,9,28,19,28,0,0,0,0,0,0,29,13,0,0,0,0,9,25,17,27,0,0,0,0,0,0,56,25,0,0,0,0,0,139,146,285
